-590 0.000199996 0.000199996
-520 0.000199996 0.000199996
-500 0.000199996 0.000199996
-490 0.001199976 0.000199996
-460 0.11479776 0.000399992
-450 0.352393008 0.000399992
-440 0.77598458 0.002199956
-430 1.29637426 0.019999602
-420 1.7389651 0.072198574
-410 1.8153635 0.239395196
-400 1.46977082 0.56658866
-390 0.94378178 1.05217959
-380 0.47839039 1.5175696
-370 0.200395992 1.8297632
-360 0.089998244 1.6159675
-350 0.057398874 1.18717711
-340 0.05139898 0.68918625
-330 0.058398842 0.33559326
-320 0.058398838 0.154196954
-310 0.06559871 0.087398296
-300 0.06319875 0.074798522
-290 0.054798916 0.070598598
-280 0.041799162 0.071798594
-270 0.020399592 0.066598694
-260 0.010799784 0.055798904
-250 0.005599888 0.042999148
-240 0.000799984 0.02399952
-230 0.000799984 0.013799724
-220 0.000399992 0.005399892
-210 0.000799984 0.003399932
-190 0.000799984 0.000599988
-180 0.000799984 0.000199996
-170 0.001399972 0.000599988
-160 0.001199976 0.000199996
-150 0.00299994 0.000399992
-140 0.00399992 0.000799984
-130 0.005799884 0.00099998
-120 0.006599868 0.001399972
-110 0.008599828 0.00299994
-100 0.011799764 0.004599908
-90 0.012599748 0.004199916
-80 0.01699966 0.007199856
-70 0.017799644 0.00899982
-60 0.012599748 0.010799784
-50 0.013199736 0.01199976
-40 0.012399752 0.01599968
-30 0.014199716 0.016599668
-20 0.010799784 0.016399672
-10 0.009799804 0.0149997
0 0.008599828 0.015599688
10 0.007599848 0.011799764
20 0.005199896 0.01099978
30 0.003599928 0.00899982
40 0.001599968 0.006399872
50 0.00199996 0.005399892
60 0.00099998 0.005399892
70 0.001199976 0.003199936
80 0.000399992 0.00299994
90 0.000599988 0.002199956
110 0.000599988 0.000599988
120 0.000199996 0.000199996
